mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
5.8005086580912275,0.17962050921282008,0.08533302942911784,0.021249258838336258,0.6,3,0.6,"{'colsample_bytree': 0.6, 'max_depth': 3, 'subsample': 0.6}",0.9251627322991671,0.9263153619201663,0.9249261368907169,0.9254680770366835,0.0006068569859853512,22
5.5406278769175215,0.4437137784833208,0.08954683939615886,0.006073958451029464,0.6,3,0.8,"{'colsample_bytree': 0.6, 'max_depth': 3, 'subsample': 0.8}",0.9263048244037639,0.9275285612228135,0.926355137353511,0.9267295076600295,0.0005653894205922103,11
5.728698809941609,0.0753999634593541,0.0723577340443929,0.020528534015860408,0.6,3,1.0,"{'colsample_bytree': 0.6, 'max_depth': 3, 'subsample': 1.0}",0.9267295046412882,0.9276573293297049,0.9256156479146012,0.9266674939618648,0.0008346654992538143,13
6.159476041793823,0.10602895433078374,0.08104276657104492,0.004905982573174908,0.6,4,0.6,"{'colsample_bytree': 0.6, 'max_depth': 4, 'subsample': 0.6}",0.9263500754907938,0.9259291871611638,0.9247859835518866,0.9256884154012814,0.000660845003817752,21
6.261517683664958,0.12430393633455791,0.09366559982299805,0.033088885434919675,0.6,4,0.8,"{'colsample_bytree': 0.6, 'max_depth': 4, 'subsample': 0.8}",0.9275038567849562,0.9280295438185348,0.9263379218463264,0.9272904408166057,0.0007068974493634225,6
4.540151039759318,1.0768326453041264,0.06337547302246094,0.023600099275098544,0.6,4,1.0,"{'colsample_bytree': 0.6, 'max_depth': 4, 'subsample': 1.0}",0.928367237811478,0.9284465218650869,0.9276546895106352,0.9281561497290668,0.0003560601571749546,1
4.936124324798584,0.15159794366207416,0.0923318862915039,0.03125627721917527,0.6,5,0.6,"{'colsample_bytree': 0.6, 'max_depth': 5, 'subsample': 0.6}",0.9241436842952596,0.92491373136061,0.9234348820444626,0.924164099233444,0.0006039102594719442,29
4.742119153340657,0.05733239079538366,0.06999977429707845,0.03131519844830888,0.6,5,0.8,"{'colsample_bytree': 0.6, 'max_depth': 5, 'subsample': 0.8}",0.9270421499871321,0.9280904863900645,0.924609455773605,0.9265806973836005,0.001458103201002754,15
4.792891979217529,0.1249915165499054,0.08766682942708333,0.04576216467284329,0.6,5,1.0,"{'colsample_bytree': 0.6, 'max_depth': 5, 'subsample': 1.0}",0.9276317578896203,0.9285846508027901,0.9274182232637829,0.9278782106520644,0.0005070782477592294,2
5.568556706110637,0.1008547580238889,0.07499996821085612,0.022465398370820826,0.6,6,0.6,"{'colsample_bytree': 0.6, 'max_depth': 6, 'subsample': 0.6}",0.9223662475007477,0.9235874894990266,0.9212442532920325,0.9223993300972689,0.0009569081544524591,34
5.549972136815389,0.12177841682756728,0.04366636276245117,0.008994021469024149,0.6,6,0.8,"{'colsample_bytree': 0.6, 'max_depth': 6, 'subsample': 0.8}",0.9251697101948773,0.9261836138948156,0.92355613557437,0.924969819888021,0.0010819358213203707,27
5.16760516166687,0.16361429905484773,0.08633279800415039,0.04467878159467259,0.6,6,1.0,"{'colsample_bytree': 0.6, 'max_depth': 6, 'subsample': 1.0}",0.9264436699573839,0.9286406862259877,0.9258979142125525,0.9269940901319748,0.0011854454453546913,8
3.9401655991872153,0.04371336956986517,0.0776659647623698,0.02978097553857936,0.8,3,0.6,"{'colsample_bytree': 0.8, 'max_depth': 3, 'subsample': 0.6}",0.9256404186400674,0.9256342724049704,0.9242882399979684,0.925187643681002,0.0006359793931894273,23
3.819831291834513,0.13083195174596932,0.08866572380065918,0.045697295483473115,0.8,3,0.8,"{'colsample_bytree': 0.8, 'max_depth': 3, 'subsample': 0.8}",0.9268747290601284,0.9270905779901668,0.9256134453661748,0.92652625080549,0.0006514384174947969,18
3.591979185740153,0.1918630346581424,0.04839555422465006,0.024480900645705298,0.8,3,1.0,"{'colsample_bytree': 0.8, 'max_depth': 3, 'subsample': 1.0}",0.9267704329947808,0.9281221966093192,0.925696964059074,0.9268631978877245,0.0009922675125570897,9
4.182605743408203,0.05720893860153627,0.07100097338358562,0.021954702620019133,0.8,4,0.6,"{'colsample_bytree': 0.8, 'max_depth': 4, 'subsample': 0.6}",0.9249582200518105,0.9265621931007891,0.92402634727296,0.9251822534751865,0.0010473050325229502,24
4.138168255488078,0.05504785532202204,0.11033248901367188,0.021452232201982082,0.8,4,0.8,"{'colsample_bytree': 0.8, 'max_depth': 4, 'subsample': 0.8}",0.9262669073927357,0.9270999550161874,0.9253264662623999,0.9262311095571075,0.0007244661039825089,19
4.353847980499268,0.13683705746624736,0.05533313751220703,0.03241750370168179,0.8,4,1.0,"{'colsample_bytree': 0.8, 'max_depth': 4, 'subsample': 1.0}",0.9271190039800233,0.9283580960238559,0.9266996904253406,0.9273922634764066,0.0007040740238400249,4
5.090514500935872,0.02303621040123888,0.07033332188924153,0.03659070166347141,0.8,5,0.6,"{'colsample_bytree': 0.8, 'max_depth': 5, 'subsample': 0.6}",0.9239294580399539,0.9241603464323639,0.9229676988499588,0.9236858344407589,0.0005164729147578744,30
4.76905353864034,0.04459667401859911,0.03433370590209961,0.004189327886300001,0.8,5,0.8,"{'colsample_bytree': 0.8, 'max_depth': 5, 'subsample': 0.8}",0.9246461575464437,0.9281910100524309,0.925383165689167,0.9260734444293472,0.001527276088697212,20
